ticket_id,customer_id,assigned_agent_id,product_id,category_id,priority_id,status_id,subject,description,created_date,resolved_date,last_updated,first_response_date,resolution_time_hours,response_time_hours,customer_satisfaction,is_escalated,escalation_reason,tags,source
3438,3011,,2,5,5,5,Growth every pressure understand evidence bill director find approach beyond.,Perhaps budget fish main else never still. Piece let expect health election per current only. School community more center international quite.,2023-06-03,2023-06-25,2024-06-25,2023-06-03,528.0,0.0,,False,,"marriage, before",Social Media
3439,683,,1,3,5,4,Treatment evening usually take team memory task church.,Morning meet red show contain could. Consumer cause home read economy another management. Commercial guess usually young approach stand.,2024-07-11,,2024-07-18,2024-07-12,,24.0,3.0,False,,"wall, capital",Portal
3440,2570,,9,7,5,2,Individual nearly alone discussion far beyond value happy take born.,Certainly road answer laugh kitchen. In friend care scene. Artist address room process. Work bit government stage her call.,2023-10-05,2023-11-02,2024-10-12,2023-10-06,672.0,24.0,1.0,False,,"grow, act",Email
3441,640,39.0,10,6,2,2,Performance audience though team forget.,Cell cover successful foot environmental capital admit every. For to character charge book past picture. Main certain especially gas agent firm.,2024-10-20,,2024-12-08,2024-10-20,,0.0,,False,,"short, both",API
3442,4620,29.0,4,1,3,1,Set vote open nor value score finish official relationship.,Benefit national build difficult community method. New child letter allow travel.,2024-11-17,2024-12-05,2024-12-10,2024-11-18,432.0,24.0,1.0,False,,"whose, away",Portal
3443,4147,37.0,6,4,2,4,Prepare represent hold task perform million form evening question family.,Trial rich family cost eye. Raise want stage. Really process more increase any sign.,2024-01-25,2024-02-08,2024-01-26,2024-01-25,336.0,0.0,1.0,False,,"special, hour",Email
3444,2630,46.0,7,6,2,7,Position card ball item store.,Shoulder force happen current.,2023-08-22,2023-09-06,2024-07-08,2023-08-23,360.0,24.0,1.0,False,,"stand, method",API
3445,1898,49.0,4,6,2,3,Enough increase enter set finish study Congress.,Meeting beautiful view animal difficult always. Box tend bring deal play police. Country medical art state.,2024-08-19,2024-09-13,2024-08-19,2024-08-20,600.0,24.0,,False,,"evidence, see",API
3446,3147,9.0,6,5,2,7,There if shoulder truth husband least authority major.,Challenge to tough. College career science people may share. Onto college cultural Democrat national.,2023-05-29,,2023-08-07,2023-05-30,,24.0,,False,,"security, act",Social Media
3447,4999,13.0,4,8,4,2,Listen car five try main.,Tree measure according economic summer gun. Lose draw should change. Prove across still and.,2024-01-17,2024-01-28,2024-10-25,2024-01-18,264.0,24.0,,False,,"community, consumer",Social Media
3448,2705,4.0,4,2,2,2,Process value special camera should nice.,Responsibility team foot radio open author year necessary.,2023-12-03,2023-12-15,2024-10-06,2023-12-05,288.0,48.0,4.0,True,,"our, relate",Phone
3449,2378,28.0,10,6,3,1,Development real country civil example sister for about mention want.,Just break drop wide oil word sort. Somebody want their travel college research. Eight pressure special traditional coach red just hear.,2023-09-24,2023-10-22,2024-05-07,,672.0,,5.0,False,,"term, apply",Portal
3450,3444,7.0,2,3,3,6,Happy artist article argue our section authority though early member.,Tv race chance. Future up lose peace bed type give. Out you writer miss example.,2024-04-14,2024-05-08,2024-05-23,2024-04-15,576.0,24.0,,False,,"do, five",Email
3451,4922,11.0,7,7,2,6,Hair fill center occur quickly.,Talk approach American attack among. Suddenly heavy nation involve visit. Practice last look box.,2024-06-01,2024-06-22,2024-08-26,2024-06-03,504.0,48.0,4.0,False,,"available, offer",Email
3452,4645,33.0,1,8,3,2,Purpose show majority water team and.,City knowledge walk my. Lay response or almost team expert side.,2023-06-28,2023-06-30,2024-11-25,2023-06-28,48.0,0.0,4.0,False,,"technology, upon",Portal
3453,1849,10.0,4,4,2,4,Push leave Democrat cut gun daughter discuss person.,Couple top Democrat room group dark course. Citizen game life add. Military these suddenly per brother practice indeed war.,2024-03-17,2024-04-01,2024-12-20,2024-03-18,360.0,24.0,3.0,False,,"keep, senior",Phone
3454,2925,16.0,6,7,4,1,Along choose health state prevent force region manager.,Late media little. Record song might control dark establish set.,2024-06-13,,2024-11-12,2024-06-14,,24.0,,False,Customer Dissatisfaction,"perhaps, somebody",Chat
3455,2961,22.0,5,1,2,3,Sound PM remember character special east.,Billion anyone together join. Anyone increase stop new like help. Change notice north choice alone mean night.,2023-09-07,2023-09-17,2023-10-01,2023-09-08,240.0,24.0,,True,,"need, far",Portal
3456,196,26.0,3,4,4,7,Newspaper employee director own animal finally knowledge although yard quality.,War way care center certainly within toward movie. Phone per protect body red again represent. Truth or approach fight inside suddenly city serve. It boy guess how policy.,2023-07-16,,2024-01-18,2023-07-16,,0.0,,True,,"use, somebody",Email
3457,1909,14.0,8,1,2,5,Attention reduce author push pattern argue.,Sound entire indicate company hotel deep. None purpose price rest safe year walk lose.,2024-06-24,2024-06-24,2024-11-16,2024-06-25,0.0,24.0,,False,,"up, morning",Portal
3458,1856,,5,3,2,4,Direction agree child arrive well.,Beautiful arm minute safe at smile. Hit and interest avoid many physical physical her.,2023-10-30,2023-11-13,2024-01-30,2023-10-31,336.0,24.0,,False,,"include, build",API
3459,2719,,10,6,4,5,Single likely commercial always yeah authority movement.,Fight summer which.,2024-03-02,,2024-06-13,2024-03-02,,0.0,2.0,False,,"ability, worry",Portal
3460,4004,29.0,5,1,5,1,Parent everything when figure force toward business quickly collection.,Defense check today body.,2023-11-17,,2023-12-02,2023-11-17,,0.0,1.0,False,,"price, you",Chat
3461,2743,33.0,5,1,2,4,Myself year suddenly nature fall own officer situation.,Must they wind smile forward new. Try across manage court maybe material around. Let west eight full. Tell social person buy turn character three.,2024-01-31,,2024-11-11,,,,,False,,"character, human",Phone
3462,3964,43.0,2,2,1,1,Discussion me note worry everybody protect song we hold.,East act yeah. Prove play every rich manager adult a successful.,2023-01-21,2023-02-05,2023-01-21,,360.0,,,False,,"happy, door",Phone
3463,1707,22.0,2,4,5,4,Best writer education about miss news model player statement pay.,Same vote east wind tax. Almost central give. Since six teach represent science degree.,2023-11-23,2023-12-06,2024-03-02,,312.0,,5.0,False,,"mission, run",Social Media
3464,8,45.0,9,8,4,4,Firm thought today try never hotel.,Public lot already explain every. Son baby maintain business education role. Cup knowledge miss main store run. Ability from gas cover set group keep.,2024-07-05,2024-08-02,2024-10-29,2024-07-05,672.0,0.0,,False,,"spring, matter",Phone
3465,2825,20.0,10,7,3,1,Play husband surface want edge explain candidate several fish work.,Inside toward cover charge society in. Growth middle up sort. Affect ball hour Republican attention need.,2023-09-03,,2024-07-14,2023-09-04,,24.0,3.0,False,,"others, although",API
3466,1916,33.0,3,1,5,4,Ball hope board us quite bring team accept responsibility name success.,Ok information paper market speak wind like. Help season difficult it class industry despite within.,2023-03-01,2023-03-18,2024-02-25,2023-03-02,408.0,24.0,3.0,False,,"join, national",Portal
3467,982,26.0,5,3,2,6,Thing country artist some important scene in above well would.,Character fly its police store tell. Collection administration maybe parent society. East Mrs plan.,2023-07-02,2023-07-19,2024-09-24,2023-07-02,408.0,0.0,4.0,False,,"own, sort",Email
3468,3117,48.0,8,6,2,4,Drug little ever key rather.,Many sport skin grow fear our. Opportunity go specific spring include no program. He attention significant up treatment. Boy raise well set first piece.,2023-01-31,,2023-06-21,2023-02-01,,24.0,4.0,False,,"president, society",Phone
3469,2730,10.0,10,1,1,4,Full base book analysis one mother test surface send make.,Member life matter war week like. Local nearly religious.,2023-07-29,,2024-05-22,2023-07-30,,24.0,,False,,"conference, woman",Phone
3470,1314,5.0,3,6,3,6,Program pay leg police direction protect.,Type worker these along. Cause special quality less reduce medical town. And speech animal argue. Financial total newspaper two opportunity play how.,2023-03-11,,2024-11-22,,,,,False,,"travel, natural",Portal
3471,1087,24.0,7,6,1,4,Let hot practice such kid support discover.,Book name respond evening. Any suddenly concern should quite decide source.,2024-12-23,2025-01-18,2024-12-24,2024-12-23,624.0,0.0,,False,,"company, too",Chat
3472,405,,8,8,3,1,Bit team present need community cell.,Strong thing trip next arm threat.,2024-02-09,2024-03-06,2024-12-24,,624.0,,5.0,False,,"blue, stock",Portal
3473,1518,,10,6,2,4,Up glass anyone debate teacher animal edge former what.,Yard age mean relationship end letter figure. Interesting change themselves until read. Enough behavior home walk purpose.,2024-12-14,2025-01-01,2024-12-18,,432.0,,1.0,False,,"daughter, see",Social Media
3474,2667,10.0,9,4,5,5,Who here environmental raise prevent government even seek.,Deal character teach citizen chance race many. Gun beyond include attorney event. May ok consider society teacher. Sea accept understand.,2024-08-20,2024-08-23,2024-12-03,2024-08-21,72.0,24.0,3.0,False,,"prepare, rate",API
3475,2366,47.0,2,4,5,2,Subject lead upon company meeting water can will approach second.,Garden two none management life be. Sit experience current blood who production.,2024-09-20,2024-09-30,2024-11-28,2024-09-20,240.0,0.0,3.0,True,,"spend, force",Chat
3476,4646,,2,3,4,4,Record behind second hundred job skill as heavy clearly message.,Perhaps live whose. Eat all list environment. Ready anyone less analysis yeah help trade.,2023-10-21,2023-11-14,2023-11-17,2023-10-21,576.0,0.0,,False,,"style, production",API
3477,1629,21.0,2,4,4,2,Idea charge significant assume fast smile half least west bar.,Memory wife if attention push. Activity again ever trouble rule perform. Where however example ready mouth.,2024-02-29,2024-03-28,2024-08-05,2024-03-01,672.0,24.0,5.0,False,,"pretty, simply",Portal
3478,4572,33.0,9,8,1,2,Court near rule structure enter people build.,Every evidence try final phone. Else Congress serious give thing itself few. Help drop author white address character man.,2023-12-12,2023-12-27,2024-05-10,2023-12-13,360.0,24.0,,False,Complex Technical Issue,"traditional, quite",Chat
3479,4904,14.0,8,2,4,2,Fact get voice newspaper fall couple spring federal.,Development heavy cultural able statement meeting. Student set take major together cut.,2024-06-14,2024-07-13,2024-08-31,2024-06-16,696.0,48.0,,False,,"ball, former",Social Media
3480,3552,15.0,1,3,1,2,Describe action option resource sit body beautiful fast.,Position financial at work hotel wait. Letter analysis whose three. Early easy particularly our in will.,2024-10-17,2024-11-09,2024-11-24,2024-10-18,552.0,24.0,3.0,False,,"its, institution",API
3481,3201,,2,8,4,4,Trouble age break head board court yourself.,Sell relate more get third blood. Still city believe bed line large week. Record wife instead would could land.,2024-08-24,2024-08-27,2024-10-18,2024-08-25,72.0,24.0,,True,,"art, form",Email
3482,222,23.0,2,2,2,6,Building better ground example second either before herself position fight.,Customer newspaper third attorney tend appear travel wish. Recognize enter for author box according. Model read include this cold look bed raise.,2024-01-13,2024-01-17,2024-06-12,2024-01-13,96.0,0.0,2.0,False,,"whose, money",Email
3483,3641,45.0,8,7,1,2,Picture upon speak loss possible most improve.,Certainly administration security nearly. Instead base half room heavy. Quite during into sign far.,2024-03-03,,2024-06-16,2024-03-04,,24.0,,False,,"hear, south",Chat
3484,3995,,3,6,5,5,Young energy know pressure pattern stand significant.,Provide catch law role deal treatment could. Often way push form which also.,2024-03-05,2024-03-08,2024-12-15,2024-03-05,72.0,0.0,2.0,False,,"include, support",Portal
3485,3143,50.0,7,6,1,5,Data professor true sport information condition group week house again.,Fine language out respond test. Check single head decision six responsibility anyone community.,2023-12-24,2024-01-11,2024-07-15,,432.0,,,False,,"director, environmental",Portal
3486,1361,7.0,5,7,1,2,Probably view under final drop what wind inside.,Development consider figure police series. Coach nation southern process. Friend present huge provide.,2024-11-07,,2024-11-26,,,,,False,,"west, around",Chat
3487,4276,6.0,2,6,5,5,Move administration really speak throughout leg any agent white include.,Feeling discussion thought their. Born approach why particularly conference the manager student.,2023-06-05,2023-06-11,2024-01-16,2023-06-05,144.0,0.0,,False,,"best, doctor",Phone
3488,1425,44.0,1,5,4,1,Ability while former movement better still suddenly loss.,Control region watch attorney. From record recognize between. Fall anything support score response born.,2024-09-15,2024-10-11,2024-10-07,,624.0,,4.0,False,,"happy, action",Social Media
3489,1492,48.0,4,7,2,6,Friend want animal attorney along material.,Risk style none couple hot hard. Center provide military only thought impact. Result owner house man work candidate person.,2023-08-02,2023-08-31,2023-12-18,,696.0,,3.0,False,,"attention, officer",Portal
3490,1695,31.0,5,8,4,3,Program sort property spring base support crime.,Space some ready. Group early laugh hit people. Start significant drive expert take sure leader.,2023-12-13,2023-12-23,2024-08-05,2023-12-13,240.0,0.0,2.0,True,,"partner, hold",Portal
3491,2843,44.0,6,2,3,5,Summer scientist race per center lead task everybody read.,Two receive you each best special. Current skin like reflect sign southern set argue.,2024-07-21,,2024-09-27,2024-07-22,,24.0,3.0,True,,"see, positive",API
3492,3476,,2,1,5,7,Sure prove address case mission too eye find south.,Chair small heart relationship conference accept share walk. Ground general today by produce for employee. Responsibility top what artist item computer.,2023-10-14,2023-10-23,2024-09-30,2023-10-15,216.0,24.0,1.0,False,,"level, identify",Chat
3493,2691,,9,6,1,7,Voice join rather buy allow town me policy.,Air break she seven among. Throughout cold spring deep read.,2023-09-10,2023-09-27,2024-12-17,2023-09-10,408.0,0.0,,True,,"data, agent",Portal
3494,4074,23.0,10,1,4,3,Practice foot they thousand wall sing.,Heart our worry best represent. Require standard indeed. Partner camera under the then.,2024-08-10,,2024-12-03,,,,4.0,False,,"seek, agree",Email
3495,45,,7,2,5,7,Pass enjoy lawyer stand up know.,Seem mission church industry reduce. Suddenly meeting stop talk prevent suffer hundred official.,2024-11-21,2024-12-20,2024-12-01,,696.0,,3.0,False,,"concern, public",API
3496,3311,15.0,5,6,2,7,Stock yes event population fact former spend easy include lose this.,Side prevent laugh. Bad commercial interest. Someone say somebody.,2024-09-18,2024-09-24,2024-10-26,2024-09-19,144.0,24.0,5.0,False,,"child, world",Social Media
3497,3826,44.0,7,6,5,5,Them choose experience face pressure listen sort yeah rock main trip.,Suggest writer rise analysis decide plan such. View issue wear force as may.,2024-04-30,2024-05-25,2024-09-21,2024-05-01,600.0,24.0,,False,,"certain, end",Email
3498,1050,25.0,4,6,3,1,Owner apply north magazine natural Mr husband.,Beautiful factor laugh. Couple film second action camera sit. Town time bank under moment new approach no.,2024-01-20,2024-01-21,2024-11-19,2024-01-20,24.0,0.0,,False,,"war, on",Email
3499,2232,12.0,4,5,5,3,Parent hotel business hair.,Minute political others want town move far. Tell positive radio mind realize ago. Suffer together pretty response fly more lead indeed.,2024-04-02,2024-04-16,2024-11-28,2024-04-03,336.0,24.0,3.0,False,,"picture, begin",Portal
3500,3268,18.0,3,1,1,5,Operation item box reality force.,Culture example teacher sure. Watch sing network have positive take apply. Develop realize management reflect society total relate. Difficult her party region oil huge.,2023-08-17,2023-09-08,2024-05-08,2023-08-18,528.0,24.0,1.0,False,,"market, represent",Phone
3501,3902,23.0,5,3,3,4,South space like wrong physical his focus.,When bank play. There fire may move many. Speech professor half none.,2024-12-21,2025-01-04,2024-12-23,2024-12-21,336.0,0.0,5.0,False,,"maybe, pressure",Chat
3502,419,22.0,9,2,3,7,Economy nation explain between than push size morning contain marriage.,Current institution able reduce walk. Reach might necessary Congress may. When office officer citizen college house game.,2024-01-18,2024-01-25,2024-06-10,,168.0,,,False,,"continue, most",Chat
3503,2602,48.0,9,8,1,5,Yourself few positive establish.,Hotel receive smile image join. Book population one spring big them.,2024-08-18,2024-08-21,2024-11-15,2024-08-18,72.0,0.0,5.0,False,,"plant, player",Portal
3504,3209,19.0,4,5,5,2,Company fast order camera candidate success bring entire and.,Leader effect bill five himself north population. Lay plant style most by.,2023-07-30,,2024-08-23,2023-07-31,,24.0,1.0,False,,"Democrat, exist",Social Media
3505,3427,27.0,6,2,5,4,And always try sure quickly under.,Expect traditional research. Born something teach either son least strong. Yet affect center something.,2024-09-30,2024-10-04,2024-12-07,2024-09-30,96.0,0.0,,False,,"similar, also",Chat
3506,605,,2,1,2,6,Charge process yeah material lay.,Each benefit seem fund. Method eye safe weight and.,2023-02-07,,2024-01-06,2023-02-07,,0.0,1.0,False,,"thus, provide",API
3507,2055,9.0,3,5,1,1,Shoulder man church sea third apply.,Very what everything operation truth life important. Simple mission set television reason. Deal military blue program section trip.,2023-04-28,2023-04-29,2024-09-17,2023-04-28,24.0,0.0,5.0,True,Customer Dissatisfaction,"bad, test",Social Media
3508,3424,8.0,7,2,1,1,Require east their mind yeah.,Present break trip trade fact. Technology kind challenge character mouth tend. Challenge traditional beyond until sea talk. Little thus forget house enjoy center.,2023-12-22,2024-01-02,2024-09-03,2023-12-23,264.0,24.0,2.0,False,,"identify, loss",Portal
3509,931,49.0,3,2,1,6,Have low television risk language I any fly likely ball.,Here peace strategy nearly movie treatment sound. Choose lot small not learn. Mother me read police left statement travel.,2023-05-13,2023-06-08,2024-09-06,2023-05-14,624.0,24.0,,False,,"forget, seek",Chat
3510,4401,49.0,4,8,3,7,Cut phone produce yes grow.,Crime than hotel. Sport customer put beat approach trial. Item responsibility audience social health. Project question employee among lay affect.,2023-10-26,2023-11-12,2024-11-03,2023-10-27,408.0,24.0,,True,,"maintain, performance",Email
3511,3991,33.0,6,2,1,2,Listen project certainly cost him type trip.,Say discuss successful my free more lot. Water trouble check I anyone then avoid.,2024-03-31,2024-04-03,2024-12-09,,72.0,,1.0,False,,"sort, edge",Phone
3512,3581,49.0,7,8,3,6,Thus north discussion wait player population plan also cup.,Performance through campaign along long financial. Know benefit cost safe if. Along care rather role start no church.,2023-07-13,,2024-07-06,,,,,False,,"white, piece",Portal
3513,3425,50.0,6,4,2,6,National already sport dream suggest home positive.,Assume keep since work center evidence man. Another let number build than red. Phone she major that whatever rock.,2024-02-06,2024-02-14,2024-09-30,2024-02-07,192.0,24.0,3.0,False,,"citizen, cup",Chat
3514,3428,42.0,7,6,5,7,Woman themselves most front everyone hit.,Last allow worry important figure thousand. Benefit yard dream account.,2024-08-07,,2024-10-23,,,,2.0,False,,"discussion, season",Phone
3515,4559,,4,2,5,3,Up order offer soon decade draw degree improve make.,Event concern cost expert. Light without despite note. Low worry sound few.,2023-03-20,2023-03-21,2024-11-06,,24.0,,2.0,False,,"memory, arrive",Phone
3516,835,44.0,9,8,4,1,Hour return education into wide allow particular garden.,Plan base majority mind enter such usually four. Matter stand realize great college. Blue avoid manage yard paper practice.,2023-11-22,,2024-08-08,2023-11-22,,0.0,2.0,False,SLA Breach Risk,"family, money",API
3517,587,45.0,6,5,5,3,Staff thousand paper remain what difference many economy.,Generation effect job. Dinner live yeah financial young down investment better.,2024-01-25,2024-02-02,2024-12-09,2024-01-25,192.0,0.0,,True,,"under, poor",Phone
3518,475,1.0,3,6,2,4,Myself north plant story street involve.,North up say blood increase paper. Everyone member him own executive bill win. After value something performance actually everyone only indicate.,2023-09-23,2023-09-29,2024-05-06,2023-09-23,144.0,0.0,3.0,True,Manager Required,"professor, hotel",Email
3519,2935,42.0,10,1,5,3,Religious week difference reveal customer.,Say although network bad shake. Character unit thousand water miss offer. Include system agreement near parent.,2024-09-18,2024-10-13,2024-09-28,,600.0,,,False,,"cover, music",API
3520,1426,38.0,8,7,1,5,Full table during beautiful happy doctor dinner.,Find far be significant. Lawyer month age first.,2024-12-19,2025-01-08,2024-12-26,,480.0,,,False,Complex Technical Issue,"leader, class",Phone
3521,1741,47.0,6,8,3,4,Whether American home perhaps listen everyone choose population specific rest.,Concern yes share much each last magazine.,2024-05-02,,2024-09-29,2024-05-03,,24.0,,False,,"data, response",Phone
3522,3522,43.0,4,1,1,1,Image east move part white effort.,Peace send small. According conference school treatment describe.,2024-04-24,,2024-12-24,2024-04-25,,24.0,1.0,False,,"science, risk",Chat
3523,3704,19.0,1,5,4,6,Teacher again individual personal hand reach hard.,Around loss manager street tell. Arm soldier hit road. Police skill relationship person along.,2023-06-26,2023-07-23,2024-06-27,,648.0,,2.0,True,,"why, set",Social Media
3524,4439,47.0,3,3,2,5,Race its stay radio person really.,Main off yet here small girl. Often question product response article road second type.,2024-05-10,,2024-12-05,2024-05-12,,48.0,3.0,False,,"authority, reason",Email
3525,3714,38.0,10,3,4,1,Hospital easy specific fund wonder.,Brother affect market street force. She both account movement rule various. Nice eye expert task describe above fund.,2024-09-06,2024-09-07,2024-11-22,,24.0,,1.0,True,,"man, movie",Phone
3526,4632,25.0,2,1,1,2,Travel reality research recently beat.,After east require party page air. Security send century loss thought. Compare begin fund Congress choice knowledge agent.,2023-12-20,2023-12-24,2024-03-01,2023-12-20,96.0,0.0,,True,,"art, age",Portal
3527,2608,50.0,5,5,3,4,Store something middle high dog commercial sister old him grow administration.,Talk break less seat. View success far do other young material. Understand bad end war indicate night compare.,2023-08-17,,2024-09-27,2023-08-17,,0.0,,False,,"everyone, part",Social Media
3528,64,29.0,3,1,2,4,Accept manage return note hand others.,Cold sound step always imagine provide. Man test develop fund pull political. Computer spring someone find.,2023-02-18,,2023-09-14,,,,,True,,"finish, firm",Phone
3529,3064,10.0,8,2,3,2,Challenge thus company sure international that fine.,Scientist back carry risk attention state.,2023-01-20,2023-02-07,2024-01-01,2023-01-20,432.0,0.0,,True,,"ten, especially",Email
3530,3688,12.0,9,6,5,4,Firm hair someone charge bring likely cause design.,Why husband fight young receive. Recognize event country politics no probably.,2023-06-17,2023-07-07,2024-02-13,,480.0,,,False,,"hold, agreement",Chat
3531,3297,42.0,5,2,1,4,News leave team performance lose rich happy itself anyone.,Guy early than. Once forward choice material others site sit. Available others region within stuff green leave factor.,2023-08-02,,2024-06-20,2023-08-03,,24.0,4.0,False,,"record, loss",API
3532,3827,35.0,10,1,4,5,Traditional security week color reflect particular happy high top build five.,Time will beautiful peace focus spend care. Popular keep form.,2023-09-12,,2023-11-16,2023-09-12,,0.0,,False,SLA Breach Risk,"reach, parent",Social Media
3533,767,4.0,1,3,1,3,Message address reveal check company wind six.,Our before Congress successful top society. Agent run maybe pretty off.,2024-06-20,2024-07-10,2024-12-07,2024-06-21,480.0,24.0,2.0,False,,"firm, carry",Chat
3534,3452,1.0,10,4,1,6,Total capital feeling her minute program than role old five size.,Administration car power owner myself course just store. Determine ever nothing recently city now country. Respond which second.,2023-09-04,2023-09-25,2023-12-12,2023-09-05,504.0,24.0,3.0,False,,"reason, team",Portal
3535,1924,,3,3,3,3,Type hard grow conference market interesting.,He choose above country around near you. Thought black rule late son.,2023-01-24,2023-02-04,2023-10-29,2023-01-25,264.0,24.0,,False,,"modern, usually",API
3536,608,25.0,2,5,1,2,Painting local half herself military night deal subject.,Large final them because. Forward family spring long. Two decide type service. Likely card fund poor story half term.,2024-05-30,2024-06-13,2024-07-21,2024-05-31,336.0,24.0,,False,,"fine, behavior",Phone
3537,316,30.0,3,2,2,5,Recognize bill drug control way themselves think.,Protect your environment.,2024-03-28,2024-04-18,2024-10-14,2024-03-28,504.0,0.0,4.0,False,,"bag, population",Email
3538,1253,26.0,9,5,3,4,Almost board family always training could high.,Economic pattern against read fight economic relationship discover. Year after traditional remain set suffer door address.,2024-02-24,2024-03-10,2024-03-10,2024-02-26,360.0,48.0,1.0,False,,"toward, many",API
3539,735,2.0,5,1,2,4,Level hard bit write.,Daughter myself road continue what size economic. Bit catch real modern company.,2023-11-28,,2024-07-05,2023-11-30,,48.0,,False,Manager Required,"pay, history",Chat
3540,3513,21.0,1,7,4,7,Watch allow investment project lot stuff court want.,Unit according college evidence special condition. Environmental political increase yourself kid act five administration. For them game inside weight election up.,2024-05-05,,2024-10-12,2024-05-05,,0.0,1.0,False,,"fish, scientist",Phone
3541,2660,10.0,4,2,1,7,Example reality country positive every current person image interesting tend.,Executive color which activity do city its. Finish window since provide whole despite. Design wife several letter.,2024-11-23,2024-11-25,2024-11-26,2024-11-23,48.0,0.0,,False,,"lay, should",Chat
3542,2416,35.0,9,1,1,4,Whom enough million such trouble task middle.,Firm she kitchen special approach. Republican low power ready relate teacher recently. Serve together value TV economy eat wish foreign.,2023-10-23,2023-11-13,2024-02-15,2023-10-23,504.0,0.0,,False,,"cost, wait",Chat
3543,4902,24.0,9,7,4,6,Music yes together difference sea.,Win speak star trade face. Someone natural agent suddenly. Shoulder choice herself price sea interest.,2024-10-11,,2024-10-13,2024-10-12,,24.0,4.0,False,,"stage, skin",Phone
3544,777,26.0,3,5,1,4,Hospital bring gun enough prevent.,Image include agency building six. Scene write on either beautiful. Win week well that.,2023-11-29,,2024-11-27,2023-11-30,,24.0,1.0,True,,"thus, series",Chat
3545,1908,9.0,4,6,4,3,Manage human fish might management know fill its rock.,Subject include I cover economic house analysis. Share skill page.,2024-02-23,2024-03-02,2024-04-22,,192.0,,,False,,"meet, food",API
3546,3081,16.0,3,8,5,2,Across win hospital positive serve term should security action.,Sing name once the capital play three. Relationship more thing side involve put break.,2024-04-11,2024-04-30,2024-10-01,2024-04-12,456.0,24.0,3.0,False,SLA Breach Risk,"ask, six",Social Media
3547,2978,19.0,10,1,2,3,Nation attorney it movie bring magazine better as when.,First cup late order different. Administration opportunity even push.,2024-09-27,2024-10-21,2024-10-18,,576.0,,4.0,False,,"health, move",Portal
3548,4150,19.0,3,4,3,5,Very generation leave a enjoy child front city hour political.,Month born painting call. New almost drop majority serve perform interest.,2024-01-29,2024-02-25,2024-07-21,2024-01-29,648.0,0.0,,False,Complex Technical Issue,"former, simply",Social Media
3549,4016,,8,5,3,7,Cold per administration fine want north during most community.,Capital glass indicate energy describe. Green sign that ok hospital consumer.,2023-08-30,,2024-02-10,2023-08-31,,24.0,2.0,False,,"month, before",Email
3550,2726,37.0,5,3,3,5,Because probably you war paper test still against street.,Ok oil pay avoid. Save baby work magazine two require run. Figure indeed impact apply improve knowledge his. Source argue ten management whether instead.,2024-10-02,,2024-11-15,,,,5.0,False,,"with, onto",Chat
3551,2703,42.0,1,6,4,3,Total defense rather their federal exactly size beat all feeling.,Join drop describe group. Woman design some run season hour affect. To evidence sign attack different conference.,2023-03-20,2023-03-30,2024-10-06,2023-03-21,240.0,24.0,,False,,"charge, contain",Portal
3552,3967,,7,3,5,5,Section woman hold important which.,Material car reveal alone follow. Ask somebody forget land generation allow. Occur really project us truth provide.,2024-01-08,2024-01-29,2024-04-13,2024-01-08,504.0,0.0,3.0,True,Complex Technical Issue,"save, ball",API
3553,4407,3.0,6,4,3,7,Establish box development but sort shoulder back.,Quality unit most head. Season get wide sure major development position.,2024-04-26,2024-05-05,2024-07-29,2024-04-27,216.0,24.0,,False,,"tell, team",Portal
3554,4261,44.0,2,3,5,3,Western future know center allow yes region now test possible.,Experience shoulder wait above woman. Enjoy represent station stuff. Camera force western book official test.,2023-01-15,2023-02-07,2024-11-30,2023-01-15,552.0,0.0,5.0,False,,"rise, about",Phone
3555,4833,22.0,3,2,5,5,End evening better son eight billion soon approach.,Fast car couple their. Surface modern per with Republican. Happy some development including.,2024-09-02,2024-09-13,2024-10-18,2024-09-04,264.0,48.0,2.0,False,,"traditional, through",Social Media
3556,1480,9.0,4,5,4,4,Subject score hospital speak Mr everybody fight ago difficult agreement.,Thought among picture but total less half. Huge decision remember federal either arm already. What forward leader plant population. Let white fish feeling center.,2023-01-31,,2024-09-17,2023-02-01,,24.0,5.0,False,Manager Required,"term, always",Chat
3557,249,3.0,6,8,5,5,Garden may name but choice wear boy give.,Simply tonight bed owner factor evening five.,2023-07-20,2023-08-14,2023-09-17,2023-07-20,600.0,0.0,,False,,"hot, red",API
3558,4472,28.0,10,7,5,1,During thing beautiful wife ten difficult well human.,Society offer game tax. Anyone move community ability police.,2024-06-26,2024-06-27,2024-11-11,,24.0,,5.0,False,,"read, gas",Portal
3559,3882,9.0,1,8,2,1,Push enough however car benefit skill number at go either.,Join front parent even ground sense. Forget no pick provide effect.,2023-04-03,2023-04-20,2023-10-30,2023-04-04,408.0,24.0,2.0,True,,"create, century",API
3560,618,40.0,2,2,5,1,Beautiful option water budget site foreign.,Protect rather develop.,2024-11-21,2024-12-04,2024-11-24,2024-11-22,312.0,24.0,5.0,False,,"break, when",Phone
3561,943,31.0,4,8,1,4,Level western firm product two laugh mean.,Wait sure yourself. Memory possible sure future relationship.,2023-09-05,2023-09-26,2024-03-30,2023-09-06,504.0,24.0,,False,Security Concern,"process, this",API
