conversion_id,lead_id,campaign_id,conversion_type,conversion_date,conversion_value,revenue,customer_lifetime_value,conversion_path,attribution_model,touchpoints_count,days_to_conversion
986,3844,10,MQL,2023-07-19,7613,34384,91865,Social Media -> Lead -> Customer,Last Touch,7,76
987,3847,47,Lead,2024-12-09,6336,12272,10169,Influencer -> Lead -> SQL,Last Touch,5,145
988,3851,43,Upsell,2024-01-21,1098,4549,49387,Social Media -> Lead -> Upsell,Time Decay,3,327
989,3852,45,MQL,2023-12-02,4820,37290,81507,Direct Mail -> Lead -> Upsell,Time Decay,9,303
990,3858,24,SQL,2023-12-21,3795,4640,20750,SEO -> Lead -> Customer,First Touch,5,238
991,3865,23,Customer,2024-12-19,3160,15667,46809,Webinars -> Lead -> SQL,Time Decay,3,62
992,3866,24,SQL,2024-02-17,9466,12330,89928,SEO -> Lead -> Upsell,Time Decay,5,211
993,3867,38,Customer,2024-08-04,9226,12659,1553,Direct Mail -> Lead -> Lead,Position Based,7,207
994,3870,22,SQL,2023-10-21,2911,11997,43703,Display -> Lead -> Lead,Time Decay,9,217
995,3873,46,Lead,2023-08-01,9822,7901,18452,Social Media -> Lead -> Customer,First Touch,8,43
996,3875,1,Upsell,2024-06-09,735,27564,48429,Display -> Lead -> Customer,Linear,9,17
997,3885,13,Upsell,2024-04-22,5786,23773,62697,SEO -> Lead -> Upsell,Linear,7,288
998,3890,11,MQL,2024-08-16,5832,37485,89287,Events -> Lead -> Upsell,Time Decay,9,169
999,3901,45,Upsell,2024-03-24,1062,28631,41895,Direct Mail -> Lead -> SQL,Linear,5,183
1000,3903,32,MQL,2023-11-01,947,42242,38941,Influencer -> Lead -> Lead,First Touch,8,295
1001,3909,45,SQL,2024-04-30,6876,1544,28160,Direct Mail -> Lead -> Upsell,Last Touch,6,108
1002,3911,48,Customer,2024-04-10,8485,1869,13274,Social Media -> Lead -> SQL,Last Touch,6,318
1003,3914,5,Upsell,2024-09-17,803,9124,64105,Influencer -> Lead -> Lead,Time Decay,9,158
1004,3915,15,Lead,2024-05-13,7745,11483,19901,Paid Search -> Lead -> Upsell,Last Touch,7,209
1005,3916,43,Upsell,2024-09-15,6655,49824,54045,Social Media -> Lead -> Customer,Position Based,7,27
1006,3917,30,Customer,2024-10-13,5940,30867,28648,Influencer -> Lead -> Customer,Linear,6,179
1007,3921,3,MQL,2024-10-09,745,10733,33746,Influencer -> Lead -> MQL,Position Based,4,6
1008,3925,41,MQL,2024-09-19,8728,36066,22056,Events -> Lead -> Lead,Position Based,9,183
1009,3927,50,Customer,2024-10-24,6317,2900,23220,Influencer -> Lead -> MQL,Last Touch,1,290
1010,3929,36,Opportunity,2024-08-13,8871,20890,60534,Direct Mail -> Lead -> SQL,Last Touch,2,325
1011,3941,40,Lead,2023-04-28,9197,16024,74082,Email -> Lead -> SQL,Position Based,5,365
1012,3963,7,Upsell,2024-02-09,9613,46412,92841,Influencer -> Lead -> Upsell,Linear,2,130
1013,3966,24,Opportunity,2024-06-11,9171,22568,14585,SEO -> Lead -> MQL,Time Decay,4,26
1014,3967,28,MQL,2024-12-28,2836,3840,63728,Display -> Lead -> Customer,Time Decay,8,7
1015,3970,15,Lead,2024-02-18,8686,18249,77671,Paid Search -> Lead -> Customer,Last Touch,6,203
1016,3986,46,MQL,2024-02-03,6252,23815,53982,Social Media -> Lead -> Upsell,Linear,1,162
1017,3991,14,Customer,2024-07-23,3834,20160,83707,Social Media -> Lead -> Opportunity,First Touch,3,123
1018,3995,36,MQL,2024-11-01,9223,2646,1762,Direct Mail -> Lead -> Customer,Last Touch,7,108
1019,3997,34,Lead,2024-06-10,1622,31501,24016,Events -> Lead -> Lead,First Touch,3,181
1020,4003,40,MQL,2024-02-06,3445,47835,18731,Email -> Lead -> Upsell,Linear,6,267
1021,4009,24,Opportunity,2024-05-31,7865,1060,33910,SEO -> Lead -> Upsell,Time Decay,5,328
1022,4010,30,Lead,2024-10-07,3266,5670,67785,Influencer -> Lead -> Customer,Linear,3,133
1023,4017,48,SQL,2024-07-14,4735,22708,38059,Social Media -> Lead -> Lead,First Touch,6,252
1024,4019,8,MQL,2024-05-25,6348,41421,84732,Influencer -> Lead -> Lead,Linear,9,235
1025,4023,21,Customer,2023-09-11,7637,8704,29113,Influencer -> Lead -> MQL,Time Decay,5,32
1026,4024,40,Opportunity,2023-10-12,2117,46658,21071,Email -> Lead -> Lead,Position Based,4,277
1027,4038,36,MQL,2024-11-12,8399,13390,58003,Direct Mail -> Lead -> Upsell,Last Touch,2,138
1028,4042,8,Lead,2024-10-13,4754,46642,4079,Influencer -> Lead -> Opportunity,Time Decay,5,12
1029,4045,1,SQL,2024-08-21,4344,43202,34556,Display -> Lead -> Customer,Linear,8,154
1030,4049,15,SQL,2024-07-11,7845,17156,63669,Paid Search -> Lead -> Lead,Position Based,7,148
1031,4051,34,SQL,2024-10-18,1587,29989,42831,Events -> Lead -> Customer,Last Touch,8,304
1032,4054,8,Customer,2024-09-13,6599,33757,63021,Influencer -> Lead -> Lead,Linear,1,33
1033,4062,38,Customer,2024-01-13,8627,42890,7058,Direct Mail -> Lead -> Opportunity,Linear,1,65
1034,4067,1,Customer,2024-10-08,4534,5583,89707,Display -> Lead -> SQL,Linear,1,136
1035,4070,10,Customer,2023-06-30,4454,22248,15694,Social Media -> Lead -> SQL,Time Decay,10,215
1036,4071,3,Opportunity,2024-09-08,3332,35816,52469,Influencer -> Lead -> SQL,Position Based,5,345
1037,4073,34,SQL,2024-11-29,4381,40690,56058,Events -> Lead -> Upsell,Last Touch,2,275
1038,4090,48,Upsell,2024-08-14,2882,12164,29502,Social Media -> Lead -> MQL,Last Touch,10,143
1039,4094,24,Lead,2024-11-20,3255,9494,7450,SEO -> Lead -> Customer,Last Touch,6,273
1040,4100,31,Opportunity,2024-05-06,5394,48232,73784,Paid Search -> Lead -> Opportunity,Last Touch,5,28
1041,4108,24,Customer,2023-11-10,1795,14061,16762,SEO -> Lead -> Upsell,Position Based,2,210
1042,4109,1,Opportunity,2024-05-25,3290,12059,38866,Display -> Lead -> SQL,Last Touch,5,100
1043,4124,20,MQL,2024-12-04,5495,24648,43544,Influencer -> Lead -> Customer,Last Touch,8,211
1044,4125,46,SQL,2024-10-31,9575,7730,70810,Social Media -> Lead -> Lead,Position Based,6,30
1045,4126,19,Upsell,2024-11-05,9263,44195,85119,Influencer -> Lead -> Customer,Last Touch,10,334
1046,4131,8,Customer,2024-08-09,8636,5770,9602,Influencer -> Lead -> Lead,Last Touch,9,95
1047,4134,27,Opportunity,2024-04-07,9021,16768,11583,SEO -> Lead -> Upsell,Linear,7,314
1048,4139,16,SQL,2024-09-27,9333,20119,54462,Paid Search -> Lead -> SQL,First Touch,5,166
1049,4142,1,Upsell,2024-08-21,3543,14389,40827,Display -> Lead -> SQL,Linear,7,301
1050,4143,14,SQL,2024-02-27,1854,16992,26897,Social Media -> Lead -> Lead,First Touch,10,177
1051,4144,4,Lead,2024-11-21,7947,33096,28772,Email -> Lead -> MQL,Position Based,10,99
1052,4145,7,Lead,2024-11-27,8415,14320,9568,Influencer -> Lead -> Customer,Position Based,9,176
1053,4148,8,Opportunity,2024-04-01,3469,13226,42768,Influencer -> Lead -> Lead,Position Based,4,257
1054,4149,44,MQL,2023-12-15,6372,29689,14806,Influencer -> Lead -> Customer,First Touch,8,314
1055,4151,16,Upsell,2024-09-16,4895,20868,98122,Paid Search -> Lead -> Lead,First Touch,1,29
1056,4157,7,Opportunity,2024-10-14,6958,16879,92112,Influencer -> Lead -> Customer,First Touch,6,12
1057,4159,43,SQL,2024-05-18,5636,31219,5307,Social Media -> Lead -> Lead,Position Based,10,70
1058,4165,49,Opportunity,2024-12-19,3789,44458,74405,Display -> Lead -> MQL,First Touch,7,183
1059,4170,39,MQL,2024-07-10,7909,20356,28402,Content Marketing -> Lead -> MQL,Linear,2,269
1060,4175,17,Customer,2024-08-06,3328,2471,47580,Events -> Lead -> MQL,Time Decay,2,30
1061,4177,14,SQL,2024-09-23,3043,48097,19761,Social Media -> Lead -> MQL,Position Based,7,65
1062,4178,16,Lead,2024-09-27,730,10450,39763,Paid Search -> Lead -> Opportunity,Time Decay,4,108
1063,4179,22,Lead,2024-11-10,8568,46964,67472,Display -> Lead -> SQL,Position Based,5,193
1064,4181,11,SQL,2024-07-31,252,22823,45509,Events -> Lead -> Lead,Time Decay,8,213
1065,4186,23,SQL,2024-12-30,2194,29201,95145,Webinars -> Lead -> SQL,Last Touch,9,241
1066,4187,7,Opportunity,2024-06-04,4565,9371,84860,Influencer -> Lead -> Lead,Time Decay,10,337
1067,4192,31,Lead,2024-10-02,4905,28728,9010,Paid Search -> Lead -> Lead,Time Decay,6,259
1068,4205,10,Opportunity,2023-08-16,8983,24304,22300,Social Media -> Lead -> Lead,Time Decay,8,150
1069,4210,19,Upsell,2024-05-04,1149,38423,79992,Influencer -> Lead -> Lead,Position Based,1,242
1070,4214,13,SQL,2024-11-16,761,30813,20876,SEO -> Lead -> Upsell,Time Decay,6,151
1071,4215,49,Customer,2024-12-24,399,35510,16601,Display -> Lead -> Customer,Last Touch,2,29
1072,4217,29,MQL,2023-12-17,4638,43035,12504,Influencer -> Lead -> Upsell,Linear,10,13
1073,4225,12,SQL,2024-09-23,1279,15186,52064,Events -> Lead -> Opportunity,Position Based,8,82
1074,4228,10,Upsell,2023-06-16,3979,34442,4835,Social Media -> Lead -> Opportunity,Position Based,8,11
1075,4233,18,Customer,2024-12-06,1298,20601,22540,Webinars -> Lead -> Customer,Last Touch,7,46
1076,4235,8,Upsell,2024-08-12,8507,30734,4711,Influencer -> Lead -> Upsell,Linear,1,218
1077,4237,14,Opportunity,2024-10-10,4815,30358,85504,Social Media -> Lead -> SQL,First Touch,2,203
1078,4238,14,SQL,2024-02-20,5198,17389,32055,Social Media -> Lead -> MQL,First Touch,2,226
1079,4243,34,MQL,2024-10-02,5013,41483,59038,Events -> Lead -> Customer,Position Based,5,110
1080,4245,4,Opportunity,2024-10-07,4813,32704,19180,Email -> Lead -> Upsell,Last Touch,4,90
1081,4248,18,Upsell,2024-11-13,9907,1369,36897,Webinars -> Lead -> Upsell,Last Touch,9,228
1082,4261,4,Lead,2024-12-07,816,29504,86380,Email -> Lead -> Customer,First Touch,5,57
1083,4263,21,Lead,2024-09-18,8103,11407,85494,Influencer -> Lead -> Upsell,Position Based,9,266
1084,4264,39,Opportunity,2023-12-26,7754,6937,13509,Content Marketing -> Lead -> SQL,Last Touch,7,283
1085,4271,48,Opportunity,2023-12-03,1823,22332,66857,Social Media -> Lead -> Lead,Linear,9,255
1086,4272,30,Upsell,2024-07-04,5619,11145,72948,Influencer -> Lead -> Opportunity,Position Based,8,56
1087,4274,8,SQL,2024-08-09,1978,15083,77206,Influencer -> Lead -> Upsell,Last Touch,3,61
1088,4276,17,MQL,2024-08-17,1408,20830,92772,Events -> Lead -> Opportunity,Last Touch,10,109
1089,4277,14,SQL,2024-08-16,5641,42193,62332,Social Media -> Lead -> MQL,Time Decay,3,111
1090,4279,38,MQL,2024-01-20,2733,49436,21908,Direct Mail -> Lead -> Customer,First Touch,1,129
1091,4284,41,Opportunity,2024-07-19,798,1516,59023,Events -> Lead -> Lead,First Touch,2,136
1092,4285,11,Upsell,2024-11-20,9223,1701,95387,Events -> Lead -> Opportunity,Position Based,8,300
1093,4286,42,Upsell,2024-03-12,1569,30304,99473,Direct Mail -> Lead -> Customer,Linear,4,205
1094,4298,21,Lead,2023-07-09,6516,1716,10999,Influencer -> Lead -> Lead,First Touch,5,330
1095,4299,7,MQL,2024-12-29,6629,45651,57614,Influencer -> Lead -> MQL,Time Decay,4,204
1096,4303,12,Customer,2024-01-26,6283,9908,40978,Events -> Lead -> SQL,Last Touch,9,116
1097,4305,26,Customer,2024-07-09,439,19180,25450,SEO -> Lead -> Opportunity,Linear,7,94
1098,4311,22,Lead,2024-11-12,4273,38496,94158,Display -> Lead -> SQL,First Touch,1,179
1099,4323,2,Opportunity,2024-04-11,9227,32259,18692,Direct Mail -> Lead -> Customer,Last Touch,2,272
1100,4337,12,Customer,2024-10-09,4205,7052,13558,Events -> Lead -> Opportunity,First Touch,5,146
1101,4343,15,SQL,2024-08-21,155,28905,83715,Paid Search -> Lead -> Lead,Last Touch,2,46
1102,4346,38,Opportunity,2024-02-23,4181,26574,79199,Direct Mail -> Lead -> Customer,Time Decay,4,221
1103,4347,13,Customer,2024-07-30,2906,33087,28994,SEO -> Lead -> SQL,Linear,4,197
1104,4352,46,Lead,2024-08-26,8453,4849,40051,Social Media -> Lead -> Lead,Linear,1,233
1105,4356,28,SQL,2024-12-25,6330,4480,88296,Display -> Lead -> Customer,Time Decay,10,115
1106,4360,21,SQL,2024-12-09,6238,47229,20996,Influencer -> Lead -> Opportunity,Last Touch,5,124
1107,4361,18,Upsell,2024-12-20,2038,38383,12909,Webinars -> Lead -> Lead,Linear,9,347
1108,4364,3,MQL,2024-10-20,9935,29533,31315,Influencer -> Lead -> SQL,Position Based,3,265
1109,4371,12,Lead,2024-10-05,2840,44721,17854,Events -> Lead -> SQL,Time Decay,2,118
1110,4374,50,Upsell,2024-10-19,5480,4098,17748,Influencer -> Lead -> SQL,Last Touch,9,9
1111,4375,15,Upsell,2024-02-08,5464,35084,7566,Paid Search -> Lead -> Customer,Position Based,4,165
1112,4377,45,MQL,2024-11-02,9812,47170,37077,Direct Mail -> Lead -> Opportunity,Time Decay,9,100
1113,4378,44,Customer,2024-11-19,6710,11750,37090,Influencer -> Lead -> SQL,Last Touch,3,75
1114,4387,5,Opportunity,2024-12-15,8190,31823,17633,Influencer -> Lead -> Customer,Linear,5,150
1115,4390,12,Upsell,2024-01-07,1168,22245,33473,Events -> Lead -> MQL,Linear,3,339
1116,4398,47,MQL,2024-09-18,7683,46996,13799,Influencer -> Lead -> Upsell,First Touch,2,184
1117,4401,17,Customer,2023-11-09,8776,8405,97810,Events -> Lead -> MQL,Position Based,8,301
1118,4410,15,Customer,2024-06-25,7944,5918,67179,Paid Search -> Lead -> SQL,Linear,9,167
1119,4422,16,Lead,2024-12-04,1405,17742,22621,Paid Search -> Lead -> Customer,Linear,4,35
1120,4425,1,Opportunity,2024-07-11,8661,20946,45968,Display -> Lead -> Lead,Last Touch,10,38
1121,4430,37,Lead,2024-10-19,7273,8951,99976,Events -> Lead -> Opportunity,Last Touch,1,299
1122,4431,17,Lead,2024-01-16,9231,30871,92653,Events -> Lead -> Upsell,First Touch,6,333
1123,4434,1,SQL,2024-06-23,8447,35950,34277,Display -> Lead -> MQL,Position Based,5,361
1124,4439,7,MQL,2024-07-16,8555,18904,18945,Influencer -> Lead -> Opportunity,Linear,5,172
1125,4443,16,Customer,2024-11-29,748,2147,86385,Paid Search -> Lead -> Lead,Time Decay,10,163
1126,4449,2,SQL,2024-11-14,1645,17164,94895,Direct Mail -> Lead -> Customer,First Touch,6,63
1127,4450,44,Opportunity,2024-08-10,8265,43767,11026,Influencer -> Lead -> MQL,Linear,1,96
1128,4453,15,MQL,2024-06-03,8604,47114,40007,Paid Search -> Lead -> Lead,Time Decay,6,115
1129,4459,36,SQL,2024-10-09,395,7783,33530,Direct Mail -> Lead -> SQL,First Touch,3,4
1130,4460,23,Customer,2024-12-27,4434,31413,66706,Webinars -> Lead -> MQL,Time Decay,8,280
1131,4462,8,Opportunity,2024-10-01,9274,34069,69163,Influencer -> Lead -> SQL,Time Decay,3,303
1132,4463,38,Opportunity,2024-05-10,1078,44069,58445,Direct Mail -> Lead -> MQL,Position Based,8,46
1133,4466,3,MQL,2024-02-01,7880,46869,93254,Influencer -> Lead -> Opportunity,Last Touch,8,131
1134,4469,37,Lead,2024-12-05,9090,9325,94200,Events -> Lead -> SQL,Time Decay,3,357
1135,4471,12,Customer,2024-06-12,9556,46033,16002,Events -> Lead -> Customer,Position Based,5,331
1136,4473,47,Customer,2024-10-23,2889,20588,87711,Influencer -> Lead -> Lead,Position Based,4,238
1137,4475,29,Lead,2024-04-27,3864,36537,68045,Influencer -> Lead -> MQL,First Touch,1,149
1138,4476,44,Lead,2024-06-01,1262,44964,43828,Influencer -> Lead -> SQL,Position Based,4,159
1139,4478,43,SQL,2024-12-15,2450,43209,6975,Social Media -> Lead -> Lead,Position Based,3,51
1140,4479,29,MQL,2024-09-20,417,28336,80985,Influencer -> Lead -> Opportunity,Last Touch,6,76
1141,4492,33,Lead,2024-11-26,2629,28428,41054,Display -> Lead -> Lead,Time Decay,4,208
1142,4493,50,Opportunity,2024-10-08,1419,19890,32309,Influencer -> Lead -> Opportunity,Linear,10,333
1143,4502,23,Customer,2024-12-22,567,46754,55988,Webinars -> Lead -> Customer,Time Decay,10,61
1144,4506,24,Opportunity,2024-06-09,6103,14216,25681,SEO -> Lead -> SQL,Linear,7,171
1145,4515,46,MQL,2024-09-20,3847,9951,99045,Social Media -> Lead -> Upsell,Time Decay,7,186
1146,4516,23,Lead,2024-12-19,6965,11436,25790,Webinars -> Lead -> Lead,Last Touch,10,68
1147,4517,45,Customer,2024-11-11,967,23299,22174,Direct Mail -> Lead -> Customer,Linear,8,141
1148,4521,14,MQL,2024-02-23,692,47936,62697,Social Media -> Lead -> MQL,Last Touch,1,82
1149,4525,13,Opportunity,2024-12-11,7651,7380,10665,SEO -> Lead -> MQL,First Touch,2,355
1150,4526,42,MQL,2024-12-13,8930,3435,68436,Direct Mail -> Lead -> Opportunity,Linear,9,111
1151,4527,3,Opportunity,2023-07-22,1708,20462,15171,Influencer -> Lead -> Opportunity,Position Based,5,117
1152,4528,25,Upsell,2024-11-07,3868,1534,45769,Direct Mail -> Lead -> Opportunity,Position Based,4,80
1153,4531,19,Lead,2024-09-09,839,37820,75603,Influencer -> Lead -> Upsell,First Touch,5,53
1154,4545,37,Upsell,2024-11-26,9047,2980,24436,Events -> Lead -> MQL,Position Based,10,149
1155,4546,47,MQL,2023-10-30,7490,24405,86964,Influencer -> Lead -> SQL,Linear,7,60
1156,4547,39,Customer,2024-04-29,117,2141,87351,Content Marketing -> Lead -> Upsell,First Touch,1,33
1157,4550,22,MQL,2024-08-21,2802,12431,38143,Display -> Lead -> Opportunity,First Touch,1,44
1158,4554,15,Customer,2023-10-11,8921,29902,34326,Paid Search -> Lead -> Opportunity,Position Based,4,34
1159,4555,38,SQL,2023-12-28,5782,40014,38134,Direct Mail -> Lead -> Customer,Linear,1,221
1160,4562,29,Customer,2024-04-06,8134,14283,57653,Influencer -> Lead -> Opportunity,Last Touch,1,329
1161,4564,10,Lead,2023-07-03,5235,27601,88735,Social Media -> Lead -> SQL,Linear,5,315
1162,4572,1,SQL,2024-10-04,7981,21823,92660,Display -> Lead -> MQL,Time Decay,8,165
1163,4576,39,Lead,2024-10-26,7587,32660,54540,Content Marketing -> Lead -> SQL,Time Decay,5,306
1164,4581,29,Customer,2024-05-17,9623,18723,54633,Influencer -> Lead -> Customer,Time Decay,9,168
1165,4585,15,Opportunity,2024-08-13,5031,34722,65444,Paid Search -> Lead -> SQL,Linear,4,100
1166,4592,26,Lead,2023-08-29,1581,23994,67770,SEO -> Lead -> Upsell,Last Touch,1,363
1167,4593,18,Upsell,2024-12-07,4536,42718,11043,Webinars -> Lead -> Customer,First Touch,2,53
1168,4603,31,Customer,2024-10-14,9018,36975,35572,Paid Search -> Lead -> Lead,Last Touch,6,109
1169,4608,29,SQL,2023-12-26,8936,15423,26556,Influencer -> Lead -> Opportunity,Last Touch,2,268
1170,4609,26,MQL,2024-04-23,6993,39752,24070,SEO -> Lead -> SQL,Time Decay,2,158
1171,4628,1,Customer,2024-06-21,6651,46957,12373,Display -> Lead -> Customer,First Touch,10,223
1172,4633,6,MQL,2024-08-14,9938,28923,61052,SEO -> Lead -> Customer,Time Decay,1,116
1173,4635,32,MQL,2024-08-01,3389,7928,93994,Influencer -> Lead -> Lead,Position Based,3,350
1174,4636,48,SQL,2024-02-01,4410,28455,90343,Social Media -> Lead -> Upsell,First Touch,8,81
1175,4638,16,MQL,2024-09-24,8408,24160,21881,Paid Search -> Lead -> Upsell,Position Based,5,119
1176,4644,5,Opportunity,2024-05-16,7062,12286,17142,Influencer -> Lead -> SQL,Position Based,3,76
1177,4654,4,Customer,2024-12-12,277,19255,28532,Email -> Lead -> Customer,Last Touch,7,274
1178,4656,17,SQL,2024-08-20,6832,23608,83420,Events -> Lead -> Customer,Position Based,4,324
1179,4660,28,Customer,2024-12-21,6867,11494,11542,Display -> Lead -> Lead,Time Decay,2,114
1180,4661,1,Lead,2024-07-15,9793,29834,13407,Display -> Lead -> Customer,Time Decay,10,138
1181,4669,6,Lead,2024-10-16,8484,7538,79867,SEO -> Lead -> MQL,First Touch,2,95
1182,4685,41,MQL,2024-09-23,3043,13975,8425,Events -> Lead -> MQL,Last Touch,8,283
1183,4686,35,Upsell,2024-10-29,9539,12784,80478,Events -> Lead -> Opportunity,Linear,3,28
1184,4690,46,Opportunity,2024-02-28,4274,12381,82654,Social Media -> Lead -> MQL,Position Based,9,285
1185,4691,2,Upsell,2024-05-09,8704,4604,89133,Direct Mail -> Lead -> MQL,Last Touch,8,124
1186,4693,45,MQL,2024-03-11,5308,17502,96689,Direct Mail -> Lead -> MQL,Last Touch,2,124
1187,4694,6,Lead,2024-10-23,7682,47060,72909,SEO -> Lead -> Lead,Position Based,2,183
1188,4700,36,Lead,2024-11-20,6915,37470,93048,Direct Mail -> Lead -> Opportunity,Time Decay,5,213
1189,4709,43,Opportunity,2024-07-30,3789,9177,79514,Social Media -> Lead -> Opportunity,First Touch,2,80
1190,4710,45,Opportunity,2023-08-25,503,30547,50754,Direct Mail -> Lead -> MQL,First Touch,1,106
1191,4714,28,Upsell,2024-12-28,4471,28508,51311,Display -> Lead -> SQL,Last Touch,1,248
1192,4716,3,SQL,2024-08-04,1062,27459,75043,Influencer -> Lead -> MQL,Last Touch,4,262
1193,4717,39,MQL,2024-01-22,228,21516,52689,Content Marketing -> Lead -> Customer,First Touch,9,217
1194,4721,44,Customer,2024-11-06,2270,12899,59524,Influencer -> Lead -> Opportunity,Position Based,1,336
1195,4723,32,Opportunity,2023-06-26,2413,31303,38288,Influencer -> Lead -> Upsell,Time Decay,7,73
1196,4724,18,MQL,2024-11-10,9425,8096,68303,Webinars -> Lead -> Lead,Time Decay,1,14
1197,4731,46,SQL,2024-08-28,2315,24792,98786,Social Media -> Lead -> Opportunity,Linear,3,91
1198,4732,10,SQL,2023-04-26,8600,43803,26844,Social Media -> Lead -> Lead,Position Based,2,172
1199,4734,47,MQL,2023-08-12,4250,45396,20269,Influencer -> Lead -> SQL,Time Decay,5,242
1200,4736,34,Upsell,2024-11-04,8002,41976,57827,Events -> Lead -> Customer,Position Based,2,69
1201,4738,1,Customer,2024-06-12,945,32179,15743,Display -> Lead -> Upsell,Last Touch,8,235
1202,4745,28,Opportunity,2024-12-29,9365,8143,31553,Display -> Lead -> Customer,First Touch,1,79
1203,4755,43,Customer,2023-10-07,644,4141,44237,Social Media -> Lead -> Customer,Linear,7,70
1204,4756,35,Customer,2024-12-09,4718,49916,52742,Events -> Lead -> MQL,Last Touch,5,127
1205,4762,10,Opportunity,2023-06-07,236,20389,25110,Social Media -> Lead -> SQL,Last Touch,4,334
1206,4763,38,Upsell,2024-02-19,272,19844,57233,Direct Mail -> Lead -> Lead,First Touch,10,96
1207,4764,48,Opportunity,2023-06-27,6137,1241,91656,Social Media -> Lead -> Lead,Position Based,10,186
1208,4767,32,Upsell,2023-04-03,8624,4547,82138,Influencer -> Lead -> Lead,Linear,4,36
1209,4768,39,MQL,2024-08-25,5790,20267,37393,Content Marketing -> Lead -> Upsell,Last Touch,1,120
1210,4770,34,Opportunity,2024-10-20,1273,40053,22536,Events -> Lead -> Upsell,Linear,3,225
1211,4771,39,MQL,2024-08-03,6716,36079,54841,Content Marketing -> Lead -> Lead,Last Touch,3,3
1212,4775,45,Upsell,2024-10-12,5772,26263,75441,Direct Mail -> Lead -> MQL,Last Touch,9,196
1213,4777,22,Customer,2024-09-25,9478,12872,73381,Display -> Lead -> Upsell,First Touch,9,176
1214,4782,4,SQL,2024-10-05,538,4942,42276,Email -> Lead -> Customer,Position Based,9,293
1215,4789,34,Customer,2024-10-31,3935,32515,18060,Events -> Lead -> Customer,First Touch,6,41
1216,4799,32,MQL,2024-09-11,9674,32911,12234,Influencer -> Lead -> Opportunity,Time Decay,5,280
1217,4805,37,Upsell,2024-12-10,293,7937,60683,Events -> Lead -> Upsell,Time Decay,7,164
1218,4807,41,SQL,2024-09-28,739,7635,81189,Events -> Lead -> Customer,Time Decay,9,125
1219,4814,50,Opportunity,2024-10-08,7886,31696,68527,Influencer -> Lead -> Lead,First Touch,10,99
1220,4819,14,MQL,2024-03-24,9869,3367,95305,Social Media -> Lead -> Lead,First Touch,10,305
1221,4821,29,SQL,2023-10-08,5539,5519,50205,Influencer -> Lead -> Upsell,Time Decay,10,66
1222,4822,3,MQL,2023-04-15,240,17209,81796,Influencer -> Lead -> SQL,First Touch,7,271
1223,4825,19,Lead,2024-04-15,7259,31545,84625,Influencer -> Lead -> Upsell,Last Touch,2,282
1224,4827,30,MQL,2024-12-25,1438,20316,9458,Influencer -> Lead -> MQL,First Touch,7,132
1225,4828,21,Lead,2024-04-27,3107,7190,8098,Influencer -> Lead -> Customer,Linear,2,297
1226,4830,42,Customer,2024-03-05,828,46560,64630,Direct Mail -> Lead -> MQL,Position Based,2,250
1227,4831,41,MQL,2024-06-01,909,10918,83967,Events -> Lead -> Upsell,Last Touch,5,271
1228,4833,8,Upsell,2024-12-26,5008,20529,26049,Influencer -> Lead -> SQL,Linear,10,293
1229,4845,22,Opportunity,2023-12-24,4112,8983,61970,Display -> Lead -> MQL,Last Touch,8,328
1230,4849,10,Upsell,2023-09-14,6413,30715,21189,Social Media -> Lead -> Lead,Last Touch,1,104
1231,4850,50,MQL,2024-10-28,2185,21110,36302,Influencer -> Lead -> Opportunity,Last Touch,9,252
1232,4856,7,Upsell,2024-09-15,1421,16833,89060,Influencer -> Lead -> Lead,Linear,2,93
1233,4860,9,SQL,2024-10-23,8944,41699,27432,Webinars -> Lead -> Customer,Last Touch,7,212
1234,4861,19,Opportunity,2024-09-27,252,29818,5333,Influencer -> Lead -> Lead,Position Based,1,304
1235,4867,49,Opportunity,2024-12-24,6290,29514,82918,Display -> Lead -> Customer,First Touch,6,165
1236,4879,5,MQL,2024-05-09,158,10243,8194,Influencer -> Lead -> Opportunity,Linear,1,96
1237,4886,24,Upsell,2024-11-03,2145,4987,75155,SEO -> Lead -> MQL,First Touch,4,291
1238,4892,44,MQL,2024-09-14,6258,30294,39285,Influencer -> Lead -> Customer,Position Based,9,307
1239,4899,3,Opportunity,2024-02-18,1074,4099,72546,Influencer -> Lead -> SQL,First Touch,5,337
1240,4900,7,SQL,2024-03-06,6324,18640,76866,Influencer -> Lead -> SQL,Last Touch,3,349
1241,4903,1,Customer,2024-07-07,1131,28329,47507,Display -> Lead -> SQL,Position Based,3,78
1242,4905,1,Opportunity,2024-12-16,1427,24167,87459,Display -> Lead -> Customer,First Touch,6,261
1243,4908,4,Lead,2024-10-28,4517,30082,21638,Email -> Lead -> Customer,Position Based,6,95
1244,4923,16,SQL,2024-12-18,3097,6273,32805,Paid Search -> Lead -> SQL,Position Based,3,325
1245,4924,23,Lead,2024-12-30,4779,13607,65611,Webinars -> Lead -> SQL,Last Touch,8,65
1246,4926,20,Lead,2024-12-03,6251,41930,36313,Influencer -> Lead -> Upsell,Last Touch,4,99
1247,4932,50,MQL,2024-10-31,274,41414,78965,Influencer -> Lead -> MQL,Last Touch,2,209
1248,4934,40,Upsell,2024-02-22,6379,13685,90294,Email -> Lead -> Upsell,Last Touch,1,342
1249,4940,41,MQL,2024-12-05,8924,43720,49633,Events -> Lead -> MQL,Time Decay,1,116
