attribution_id,conversion_id,campaign_id,attribution_model,attribution_percentage,attributed_revenue,touchpoint_position,days_from_first_touch,days_from_last_touch,channel_weight,interaction_type
1958,392,42,Linear,0.57,23609.969999999998,5,275,23,0.67,Engagement
1959,392,42,Time Decay,0.93,31065.75,5,12,6,0.57,Conversion
1960,392,42,Position Based,0.71,21538.920000000002,4,156,15,0.42,Click
1961,393,6,First Touch,0.42,12774.51,1,200,11,0.65,Conversion
1962,393,6,Last Touch,0.67,12143.67,8,178,28,0.76,Conversion
1963,393,6,Linear,0.47,14351.61,5,310,2,0.99,View
1964,393,6,Time Decay,0.89,14509.320000000002,4,167,16,0.3,Engagement
1965,393,6,Position Based,0.57,6781.53,5,158,24,0.35,Conversion
1966,394,44,First Touch,0.25,255.35999999999999,6,243,15,0.32,View
1967,394,44,Last Touch,0.27,376.96,3,59,26,0.61,View
1968,394,44,Linear,0.13,839.04,9,206,6,0.18,Engagement
1969,394,44,Time Decay,0.25,1179.52,4,203,23,0.61,View
1970,394,44,Position Based,0.74,717.4399999999999,3,283,23,0.72,Engagement
1971,395,16,First Touch,0.92,2134.0,4,349,17,0.85,Conversion
1972,395,16,Last Touch,0.29,7469.0,6,226,29,0.28,Conversion
1973,395,16,Linear,0.7,7081.0,4,175,8,0.77,Conversion
1974,395,16,Time Decay,0.41,5820.0,2,248,9,0.36,View
1975,395,16,Position Based,0.34,7953.999999999999,8,31,27,0.3,Conversion
1976,396,4,First Touch,0.96,19404.5,5,313,19,0.88,Click
1977,396,4,Last Touch,0.26,22121.129999999997,7,213,23,0.74,Conversion
1978,396,4,Linear,0.68,33763.83,9,186,29,0.49,Click
1979,396,4,Time Decay,0.49,5433.26,1,26,8,0.76,Engagement
1980,396,4,Position Based,0.14,25613.940000000002,8,301,7,0.79,Engagement
1981,397,37,First Touch,0.85,32467.579999999998,10,362,13,0.13,Click
1982,397,37,Last Touch,0.59,11325.9,10,5,11,0.22,View
1983,397,37,Linear,0.59,21141.68,6,49,1,0.62,Click
1984,397,37,Time Decay,0.6,25672.04,7,33,29,0.12,Conversion
1985,397,37,Position Based,0.92,15856.26,5,71,1,0.71,Click
1986,398,31,First Touch,0.98,17084.629999999997,1,365,18,0.63,Conversion
1987,398,31,Last Touch,0.64,16505.489999999998,5,216,6,0.92,Engagement
1988,398,31,Linear,0.64,22876.030000000002,4,129,27,0.28,Engagement
1989,398,31,Time Decay,0.57,15636.78,4,309,5,0.25,View
1990,398,31,Position Based,0.95,22876.030000000002,4,80,16,0.17,View
1991,399,31,First Touch,0.35,5779.0,7,186,28,0.56,Conversion
1992,399,31,Last Touch,0.5,7397.12,2,341,18,0.87,View
1993,399,31,Linear,0.33,7165.96,8,6,16,0.48,View
1994,399,31,Time Decay,0.82,13869.6,10,227,23,0.99,Engagement
1995,399,31,Position Based,1.0,7397.12,5,244,17,0.16,Conversion
1996,400,36,First Touch,0.39,1857.5900000000001,7,151,15,0.15,Conversion
1997,400,36,Last Touch,0.2,3387.37,1,355,27,0.93,Engagement
1998,400,36,Linear,0.91,7211.820000000001,10,328,17,0.24,View
1999,400,36,Time Decay,0.57,1966.86,10,54,26,0.25,View
2000,400,36,Position Based,0.92,8195.25,5,314,6,0.44,View
2001,401,2,First Touch,0.43,3565.25,8,206,6,0.61,Engagement
2002,401,2,Last Touch,0.42,1042.15,1,229,6,0.83,Engagement
2003,401,2,Linear,0.8,4936.5,2,235,10,0.2,View
2004,401,2,Time Decay,0.11,3674.9500000000003,9,213,18,0.93,Engagement
2005,401,2,Position Based,0.18,4826.8,5,83,30,0.15,View
2006,402,33,First Touch,0.38,2282.2400000000002,6,201,26,0.72,Conversion
2007,402,33,Last Touch,0.63,1711.6799999999998,4,5,11,0.62,Conversion
2008,402,33,Linear,0.26,1069.8,7,164,13,0.11,View
2009,402,33,Time Decay,0.92,6347.4800000000005,8,332,3,0.23,Click
2010,402,33,Position Based,0.91,6918.04,6,339,28,0.93,Engagement
2011,403,38,First Touch,0.17,13571.220000000001,8,222,6,0.65,View
2012,403,38,Last Touch,0.86,29926.28,9,316,26,0.6,Engagement
2013,403,38,Linear,0.28,19138.9,6,230,2,0.24,Click
2014,403,38,Time Decay,0.44,30274.26,5,208,10,0.17,Click
2015,403,38,Position Based,0.45,14615.16,1,165,15,0.53,View
2016,404,45,First Touch,0.43,14508.6,4,315,29,0.79,Engagement
2017,404,45,Last Touch,0.22,14508.6,5,95,20,0.39,View
2018,404,45,Linear,0.3,13783.169999999998,10,32,16,0.46,Engagement
2019,404,45,Time Decay,0.56,24181.0,1,59,22,0.57,Click
2020,404,45,Position Based,0.19,20795.66,4,361,5,0.95,View
2021,405,43,First Touch,0.38,37219.2,6,70,16,0.59,Conversion
2022,405,43,Last Touch,0.36,25975.9,10,110,4,0.76,Click
2023,405,43,Linear,0.83,24037.4,8,32,8,0.79,Click
2024,405,43,Time Decay,0.18,12018.7,6,307,1,0.38,Conversion
2025,405,43,Position Based,0.97,35668.4,5,257,8,0.38,Click
2026,406,26,First Touch,0.16,24911.5,10,313,15,0.85,View
2027,406,26,Last Touch,0.77,31388.49,2,113,7,0.18,Conversion
2028,406,26,Linear,0.31,9466.37,10,129,10,0.64,View
2029,406,26,Time Decay,0.99,24911.5,8,169,29,0.22,Engagement
2030,406,26,Position Based,0.11,32384.95,10,210,7,0.97,Conversion
2031,407,5,First Touch,0.54,14011.740000000002,6,312,16,0.38,Click
2032,407,5,Last Touch,0.14,22666.050000000003,4,314,27,0.33,View
2033,407,5,Linear,0.98,12363.3,10,318,12,0.3,Click
2034,407,5,Time Decay,0.91,16896.51,1,90,10,0.53,View
2035,407,5,Position Based,0.59,15660.18,5,220,27,0.18,Click
2036,408,46,First Touch,0.46,43144.560000000005,10,208,6,0.54,Engagement
2037,408,46,Last Touch,0.4,28299.12,5,308,11,0.75,Click
2038,408,46,Linear,0.14,23659.920000000002,1,300,30,0.35,Click
2039,408,46,Time Decay,0.34,36185.76,10,166,1,0.6,Engagement
2040,408,46,Position Based,0.55,26443.44,5,220,27,0.74,Conversion
2041,409,41,First Touch,0.75,29911.68,5,41,7,0.57,Conversion
2042,409,41,Last Touch,0.99,7754.88,10,359,17,0.99,Conversion
2043,409,41,Linear,0.8,4431.36,10,178,29,0.97,View
2044,409,41,Time Decay,0.98,30280.96,6,26,14,0.75,Click
2045,409,41,Position Based,0.21,6647.04,3,128,16,0.11,Click
2046,410,10,First Touch,0.99,7468.96,5,280,22,0.91,Click
2047,410,10,Last Touch,0.47,45747.38,2,176,12,0.37,Conversion
2048,410,10,Linear,0.46,36411.18,2,318,4,0.72,Conversion
2049,410,10,Time Decay,0.25,35944.37,9,64,7,0.47,Click
2050,410,10,Position Based,0.7,28942.22,10,83,11,0.49,View
2051,411,41,First Touch,0.51,21456.51,2,181,9,0.18,Click
2052,411,41,Last Touch,0.17,34631.560000000005,6,316,8,0.43,Engagement
2053,411,41,Linear,0.44,14304.34,9,170,29,0.72,View
2054,411,41,Time Decay,0.89,36890.14,10,50,27,0.73,Engagement
2055,411,41,Position Based,0.25,25973.67,5,198,28,0.65,Conversion
2056,412,14,First Touch,0.19,5124.0,10,201,7,0.4,Engagement
2057,412,14,Last Touch,0.88,2220.4,9,270,7,0.18,Conversion
2058,412,14,Linear,0.78,8283.8,7,69,23,0.44,View
2059,412,14,Time Decay,0.21,1622.6,7,137,5,0.99,Conversion
2060,412,14,Position Based,0.62,7686.0,6,101,24,0.19,View
2061,413,49,First Touch,0.49,4423.950000000001,5,229,1,0.14,View
2062,413,49,Last Touch,0.95,13927.25,6,347,26,0.29,Click
2063,413,49,Linear,0.95,13927.25,2,116,14,0.4,Conversion
2064,413,49,Time Decay,0.82,16057.3,4,274,18,0.12,View
2065,413,49,Position Based,0.24,5079.35,2,156,6,0.45,Click
2066,414,39,First Touch,0.11,34522.0,4,95,29,0.31,View
2067,414,39,Last Touch,0.99,10356.6,7,223,25,0.89,Click
2068,414,39,Linear,0.21,30034.14,7,61,24,0.4,Conversion
2069,414,39,Time Decay,0.72,7940.06,9,109,11,0.79,Click
2070,414,39,Position Based,0.43,12773.14,6,216,16,0.52,Click
2071,415,43,First Touch,0.23,13176.1,2,269,14,0.54,Engagement
2072,415,43,Last Touch,0.8,10352.65,7,47,14,0.39,Click
2073,415,43,Linear,0.12,4302.4,6,174,10,0.15,Click
2074,415,43,Time Decay,0.36,10487.1,5,309,28,0.87,Engagement
2075,415,43,Position Based,0.64,10218.2,6,205,2,0.87,Conversion
2076,416,11,First Touch,0.29,8560.140000000001,9,191,29,0.43,View
2077,416,11,Last Touch,0.57,30890.94,8,120,8,0.29,Engagement
2078,416,11,Linear,0.71,17120.280000000002,2,79,6,0.41,View
2079,416,11,Time Decay,0.71,7815.78,4,187,12,0.23,View
2080,416,11,Position Based,0.79,20469.9,7,105,12,0.34,Engagement
2081,417,50,First Touch,0.66,10960.65,7,64,8,0.58,Conversion
2082,417,50,Last Touch,0.73,12708.0,5,289,25,0.85,Engagement
2083,417,50,Linear,0.87,12866.85,7,280,8,0.66,Click
2084,417,50,Time Decay,0.79,6354.0,10,45,18,0.73,Conversion
2085,417,50,Position Based,0.73,14137.65,2,335,4,0.75,Conversion
2086,418,45,First Touch,0.66,5798.5199999999995,1,286,3,0.78,Conversion
2087,418,45,Last Touch,0.34,2277.9900000000002,6,206,22,0.76,Click
2088,418,45,Linear,0.28,828.36,5,196,13,0.43,Conversion
2089,418,45,Time Decay,0.42,3796.65,2,277,30,0.66,Conversion
2090,418,45,Position Based,0.8,2761.2000000000003,2,110,21,0.77,Click
2091,419,20,First Touch,0.32,31739.309999999998,4,200,4,0.51,View
2092,419,20,Last Touch,0.26,12419.730000000001,9,185,7,0.83,Engagement
2093,419,20,Linear,0.52,35419.23,10,155,6,0.54,Conversion
2094,419,20,Time Decay,0.54,22079.52,9,117,14,0.49,View
2095,419,20,Position Based,0.68,30359.34,8,248,2,0.9,Click
2096,420,27,First Touch,0.35,3350.82,6,143,23,0.15,View
2097,420,27,Last Touch,0.87,1523.1,8,208,25,0.14,Click
2098,420,27,Linear,0.77,3147.74,8,272,21,0.99,Conversion
2099,420,27,Time Decay,0.54,1573.87,3,95,15,0.74,Engagement
2100,420,27,Position Based,0.44,2436.96,2,50,9,0.38,View
2101,421,9,First Touch,0.45,21505.95,2,22,13,0.52,View
2102,421,9,Last Touch,0.16,11947.75,1,7,18,0.12,View
2103,421,9,Linear,0.48,43489.810000000005,10,287,19,0.76,View
2104,421,9,Time Decay,0.5,45879.36,3,59,5,0.85,Engagement
2105,421,9,Position Based,0.91,40144.439999999995,5,144,28,0.43,Click
2106,422,3,First Touch,0.55,4342.14,4,297,22,0.14,View
2107,422,3,Last Touch,0.95,4736.88,2,76,19,0.61,View
2108,422,3,Linear,0.99,39079.26,2,191,10,0.63,View
2109,422,3,Time Decay,0.88,37105.56,9,122,22,0.71,View
2110,422,3,Position Based,0.72,35526.6,10,168,25,0.51,Click
2111,423,20,First Touch,1.0,2346.43,2,226,25,0.93,Conversion
2112,423,20,Last Touch,0.8,4463.9400000000005,7,197,25,0.16,View
2113,423,20,Linear,0.81,858.4499999999999,7,290,23,0.59,Click
2114,423,20,Time Decay,0.83,4635.63,2,33,23,0.66,Engagement
2115,423,20,Position Based,0.63,2689.81,1,42,21,0.99,View
2116,424,28,First Touch,0.72,21686.29,9,1,29,0.85,Click
2117,424,28,Last Touch,0.62,10980.400000000001,7,22,17,0.64,Engagement
2118,424,28,Linear,0.27,21137.27,4,267,26,0.35,Conversion
2119,424,28,Time Decay,0.35,16470.6,4,288,3,0.82,Engagement
2120,424,28,Position Based,0.21,14000.01,2,19,29,0.39,Engagement
2121,425,5,First Touch,0.27,5072.34,6,362,21,0.46,Conversion
2122,425,5,Last Touch,0.3,1504.98,5,25,3,0.96,Click
2123,425,5,Linear,0.91,3846.0599999999995,3,166,5,0.47,Click
2124,425,5,Time Decay,0.64,5072.34,9,119,17,0.96,Conversion
2125,425,5,Position Based,0.47,2898.48,10,290,20,0.78,Conversion
2126,426,19,First Touch,0.79,2307.42,2,98,29,0.84,Click
2127,426,19,Last Touch,0.33,9870.630000000001,10,139,5,0.78,Conversion
2128,426,19,Linear,0.35,2179.23,10,8,25,0.82,View
2129,426,19,Time Decay,0.69,12306.24,2,178,7,0.96,Engagement
2130,426,19,Position Based,0.83,11537.1,2,13,28,0.32,Click
2131,427,30,First Touch,0.21,3271.06,9,167,13,0.77,Click
2132,427,30,Last Touch,0.18,1635.53,3,242,3,0.99,Conversion
2133,427,30,Linear,0.27,5688.8,4,319,29,0.33,View
2134,427,30,Time Decay,0.2,924.4300000000001,9,354,30,0.61,Engagement
2135,427,30,Position Based,0.98,1493.31,9,266,2,0.13,Conversion
2136,428,48,First Touch,0.48,14832.64,10,121,9,0.33,View
2137,428,48,Last Touch,0.45,11588.0,1,114,29,0.18,Conversion
2138,428,48,Linear,0.53,5330.4800000000005,7,28,19,0.1,View
2139,428,48,Time Decay,0.3,9965.68,3,291,14,0.9,Engagement
2140,428,48,Position Based,0.72,14832.64,5,348,5,0.38,View
2141,429,25,First Touch,0.15,28365.479999999996,5,244,10,0.47,View
2142,429,25,Last Touch,0.68,15426.84,10,174,12,0.15,View
2143,429,25,Linear,0.43,20900.88,4,239,16,0.69,Click
2144,429,25,Time Decay,0.43,34834.799999999996,7,241,4,0.21,Click
2145,429,25,Position Based,0.47,19407.96,2,31,21,0.11,View
2146,430,43,First Touch,0.36,6075.68,9,97,30,0.96,Conversion
2147,430,43,Last Touch,0.22,2377.44,1,73,30,0.27,Click
2148,430,43,Linear,0.72,2509.52,5,246,10,0.81,Click
2149,430,43,Time Decay,0.42,5679.44,2,325,29,0.45,Engagement
2150,430,43,Position Based,0.27,2773.68,8,257,5,0.88,Engagement
2151,431,47,First Touch,0.93,5135.97,1,348,18,0.91,Conversion
2152,431,47,Last Touch,0.71,8883.84,10,229,7,0.65,Click
2153,431,47,Linear,0.73,8189.79,4,280,6,0.53,View
2154,431,47,Time Decay,0.69,13325.76,9,253,7,0.89,Conversion
2155,431,47,Position Based,0.9,13742.19,6,159,19,0.96,Click
2156,432,4,First Touch,0.3,3092.6,3,58,1,0.89,View
2157,432,4,Last Touch,0.48,2434.6,8,195,5,0.24,Engagement
2158,432,4,Linear,0.54,5922.0,8,57,21,0.36,Conversion
2159,432,4,Time Decay,0.35,2237.2000000000003,5,306,15,0.22,Engagement
2160,432,4,Position Based,0.18,4079.6,1,328,19,0.64,Click
2161,433,43,First Touch,0.5,30725.96,3,365,23,0.17,Engagement
2162,433,43,Last Touch,0.61,5451.38,2,74,2,0.76,Click
2163,433,43,Linear,0.96,15362.98,7,15,13,0.63,Conversion
2164,433,43,Time Decay,0.11,9416.02,5,175,20,0.56,Click
2165,433,43,Position Based,0.73,12389.5,1,18,9,0.78,Engagement
2166,434,31,First Touch,0.89,1153.32,4,163,22,0.76,View
2167,434,31,Last Touch,0.58,5862.71,5,144,6,0.53,Conversion
2168,434,31,Linear,0.94,8842.12,3,267,13,0.56,Conversion
2169,434,31,Time Decay,0.97,4132.73,7,90,18,0.25,Engagement
2170,434,31,Position Based,0.47,7688.8,6,199,11,0.16,Engagement
2171,435,23,First Touch,0.52,9520.88,9,200,2,0.32,View
2172,435,23,Last Touch,0.72,13578.96,6,149,8,0.12,Engagement
2173,435,23,Linear,0.16,6399.28,4,67,19,0.42,Click
2174,435,23,Time Decay,0.61,6711.44,8,112,5,0.44,Click
2175,435,23,Position Based,0.47,15295.84,5,58,27,0.86,Conversion
2176,436,12,First Touch,0.8,47247.0,3,279,25,0.41,Click
2177,436,12,Last Touch,0.21,22678.559999999998,8,60,15,0.41,Engagement
2178,436,12,Linear,0.5,12756.69,7,82,23,0.31,Conversion
2179,436,12,Time Decay,0.85,6614.580000000001,2,165,3,0.44,Conversion
2180,436,12,Position Based,0.51,36852.66,4,245,29,0.99,Click
2181,437,45,First Touch,0.79,11453.960000000001,8,179,26,0.46,Engagement
2182,437,45,Last Touch,0.14,20797.98,10,340,6,0.79,Conversion
2183,437,45,Linear,0.84,12358.22,2,183,21,0.89,Click
2184,437,45,Time Decay,0.13,18688.04,5,81,10,0.11,View
2185,437,45,Position Based,0.73,24113.600000000002,1,78,27,0.82,Conversion
2186,438,5,First Touch,0.23,2676.15,4,20,17,0.7,View
2187,438,5,Last Touch,0.49,2557.21,4,209,20,0.65,Engagement
2188,438,5,Linear,0.29,4638.66,6,273,17,0.39,Click
2189,438,5,Time Decay,0.92,832.58,4,165,7,0.22,Engagement
2190,438,5,Position Based,0.57,4757.6,6,72,4,0.85,Engagement
2191,439,26,First Touch,0.65,3974.0899999999997,3,3,19,0.35,Click
2192,439,26,Last Touch,0.24,1515.8899999999999,3,288,6,0.64,Conversion
2193,439,26,Linear,0.99,2458.2,3,212,10,0.42,Engagement
2194,439,26,Time Decay,0.31,1515.8899999999999,9,220,5,0.27,Click
2195,439,26,Position Based,0.3,1106.19,9,142,15,0.32,Click
2196,440,19,First Touch,0.13,6655.2,4,248,14,0.57,Click
2197,440,19,Last Touch,0.51,19688.3,10,256,27,0.8,Conversion
2198,440,19,Linear,0.91,23015.899999999998,4,80,12,0.86,View
2199,440,19,Time Decay,0.16,4714.1,5,134,11,0.14,Click
2200,440,19,Position Based,0.74,23015.899999999998,5,93,12,0.99,View
2201,441,11,First Touch,0.31,3544.42,2,266,25,0.4,View
2202,441,11,Last Touch,0.16,24166.5,3,271,4,0.1,Click
2203,441,11,Linear,0.22,14499.9,6,70,12,0.82,View
2204,441,11,Time Decay,0.79,10955.480000000001,2,228,22,0.74,View
2205,441,11,Position Based,0.36,17399.88,8,68,25,0.88,Click
2206,442,45,First Touch,0.14,16720.77,3,146,9,0.31,Click
2207,442,45,Last Touch,0.72,19386.4,9,356,28,0.19,Engagement
2208,442,45,Linear,0.31,21809.7,7,98,11,0.93,Click
2209,442,45,Time Decay,0.26,4119.610000000001,7,341,27,0.77,Click
2210,442,45,Position Based,0.77,8966.21,7,325,19,0.18,Conversion
2211,443,4,First Touch,0.65,25923.84,2,248,27,0.44,Engagement
2212,443,4,Last Touch,0.39,7837.4400000000005,2,148,10,0.12,Click
2213,443,4,Linear,0.3,11153.28,3,330,22,0.9,Conversion
2214,443,4,Time Decay,0.7,6933.12,5,361,23,0.42,Conversion
2215,443,4,Position Based,0.69,14770.56,10,124,11,0.29,Click
2216,444,4,First Touch,0.93,17161.2,6,203,19,0.34,Engagement
2217,444,4,Last Touch,0.6,11154.78,1,66,29,0.39,Conversion
2218,444,4,Linear,0.77,17733.24,1,13,6,0.19,Click
2219,444,4,Time Decay,0.22,14587.02,7,5,22,0.89,Click
2220,444,4,Position Based,0.94,5148.36,5,101,25,0.65,Conversion
2221,445,6,First Touch,0.47,2586.96,9,182,30,0.74,Engagement
2222,445,6,Last Touch,0.94,8623.2,7,162,21,0.64,Engagement
2223,445,6,Linear,0.13,18324.3,10,223,12,0.67,Engagement
2224,445,6,Time Decay,0.78,3233.7,5,12,7,0.76,Conversion
2225,445,6,Position Based,0.49,7545.299999999999,5,353,17,0.3,Engagement
2226,446,31,First Touch,0.21,5698.9800000000005,5,116,21,0.84,Engagement
2227,446,31,Last Touch,0.89,6694.04,4,146,6,0.85,Engagement
2228,446,31,Linear,0.36,2713.7999999999997,8,151,26,0.14,Engagement
2229,446,31,Time Decay,0.93,8593.699999999999,2,97,26,0.9,Click
2230,446,31,Position Based,0.31,2623.3399999999997,9,189,10,0.57,View
2231,447,16,First Touch,0.91,31639.68,9,324,19,1.0,Engagement
2232,447,16,Last Touch,0.17,5602.860000000001,3,212,21,0.68,Click
2233,447,16,Linear,0.57,9887.4,1,317,15,0.34,Click
2234,447,16,Time Decay,0.39,16808.58,7,95,9,0.28,Engagement
2235,447,16,Position Based,0.99,29991.780000000002,1,217,30,0.89,Conversion
2236,448,31,First Touch,0.37,29784.719999999998,1,329,16,0.86,Conversion
2237,448,31,Last Touch,0.43,33685.1,2,11,26,0.21,View
2238,448,31,Linear,0.46,8509.92,8,54,15,0.53,View
2239,448,31,Time Decay,0.65,28720.980000000003,5,261,18,0.93,Click
2240,448,31,Position Based,0.6,21983.96,8,40,28,0.62,View
2241,449,18,First Touch,0.72,32715.54,3,27,9,0.51,Engagement
2242,449,18,Last Touch,0.98,22801.739999999998,6,185,11,0.2,Conversion
2243,449,18,Linear,0.79,14870.7,10,67,26,0.87,View
2244,449,18,Time Decay,0.35,29741.4,7,5,17,0.99,Click
2245,449,18,Position Based,0.42,8261.5,6,306,19,0.31,Click
2246,450,23,First Touch,0.55,29236.679999999997,4,347,18,0.22,Engagement
2247,450,23,Last Touch,0.4,40677.119999999995,5,73,24,0.37,Conversion
2248,450,23,Linear,0.45,16101.36,9,96,12,0.84,Click
2249,450,23,Time Decay,0.95,37711.08,9,256,7,0.91,View
2250,450,23,Position Based,0.2,18643.68,9,334,20,0.11,Click
2251,451,7,First Touch,0.69,9398.9,7,306,13,0.5,Conversion
2252,451,7,Last Touch,0.8,12639.9,9,241,19,0.98,Engagement
2253,451,7,Linear,0.79,18473.699999999997,7,60,2,0.22,Engagement
2254,451,7,Time Decay,0.79,6482.0,3,18,9,0.2,View
2255,451,7,Position Based,0.19,7130.2,4,314,3,0.76,Conversion
2256,452,36,First Touch,0.99,9946.12,2,283,29,0.46,Engagement
2257,452,36,Last Touch,0.71,6150.889999999999,3,121,29,0.16,View
2258,452,36,Linear,0.51,9160.9,3,139,6,0.17,Conversion
2259,452,36,Time Decay,0.54,3795.2299999999996,6,242,7,0.25,Engagement
2260,452,36,Position Based,0.2,5889.150000000001,3,81,13,0.57,View
2261,453,29,First Touch,0.9,21576.32,1,107,24,0.24,Engagement
2262,453,29,Last Touch,0.68,24610.489999999998,6,253,17,0.32,Click
2263,453,29,Linear,0.61,29667.44,2,164,10,0.26,Conversion
2264,453,29,Time Decay,0.87,14159.46,4,229,22,0.81,Conversion
2265,453,29,Position Based,0.94,10113.9,8,165,12,0.62,View
2266,454,5,First Touch,0.59,22344.48,6,214,11,0.82,View
2267,454,5,Last Touch,0.11,12876.480000000001,7,35,15,0.99,View
2268,454,5,Linear,0.47,22344.48,2,72,13,0.92,Click
2269,454,5,Time Decay,0.53,6059.52,4,27,5,0.33,Click
2270,454,5,Position Based,0.83,29918.88,4,154,18,0.72,Engagement
2271,455,19,First Touch,0.56,11630.720000000001,2,118,28,0.41,Click
2272,455,19,Last Touch,0.82,9236.16,10,111,30,0.34,Click
2273,455,19,Linear,0.89,10091.359999999999,6,190,15,0.86,View
2274,455,19,Time Decay,0.85,7696.8,3,193,7,0.69,View
2275,455,19,Position Based,0.52,13341.12,9,24,2,0.66,Conversion
2276,456,14,First Touch,0.67,17600.24,8,137,8,0.36,Conversion
2277,456,14,Last Touch,0.19,27230.559999999998,8,31,10,0.19,Conversion
2278,456,14,Linear,0.57,13283.2,2,121,15,0.69,View
2279,456,14,Time Decay,0.18,29223.04,4,345,10,0.94,Click
2280,456,14,Position Based,0.88,29887.2,7,153,12,0.23,Engagement
2281,457,28,First Touch,0.27,25139.519999999997,3,213,7,0.38,Conversion
2282,457,28,Last Touch,0.54,36408.96,2,20,13,0.27,View
2283,457,28,Linear,0.67,13870.08,6,277,9,0.26,Conversion
2284,457,28,Time Decay,0.44,7801.92,3,228,21,0.81,Conversion
2285,457,28,Position Based,0.94,39876.48,8,352,29,0.41,View
2286,458,38,First Touch,0.52,450.45,4,281,20,0.93,Click
2287,458,38,Last Touch,0.26,152.1,7,88,19,0.49,View
2288,458,38,Linear,0.63,526.5,6,18,25,0.75,View
2289,458,38,Time Decay,0.1,473.85,1,63,19,0.75,Conversion
2290,458,38,Position Based,0.77,415.34999999999997,2,59,30,0.12,Conversion
2291,459,26,First Touch,0.47,30623.12,8,207,3,0.5,Engagement
2292,459,26,Last Touch,0.85,5849.360000000001,9,289,22,0.11,Engagement
2293,459,26,Linear,0.69,21332.96,2,150,3,0.81,Conversion
2294,459,26,Time Decay,0.15,33719.84,2,80,20,0.71,Engagement
2295,459,26,Position Based,0.27,25461.92,7,176,1,0.15,Engagement
2296,460,8,First Touch,0.14,4797.78,9,314,23,0.87,Click
2297,460,8,Last Touch,0.14,799.63,2,280,19,0.43,Engagement
2298,460,8,Linear,0.88,5228.349999999999,5,247,13,0.87,View
2299,460,8,Time Decay,0.81,2521.91,9,228,29,0.77,Click
2300,460,8,Position Based,0.27,5228.349999999999,5,293,18,0.4,Conversion
2301,461,27,First Touch,0.57,30351.2,3,75,17,0.33,Conversion
2302,461,27,Last Touch,0.26,8725.970000000001,8,226,22,0.47,Click
2303,461,27,Linear,0.97,15175.6,7,191,4,0.59,Engagement
2304,461,27,Time Decay,0.22,9864.140000000001,10,50,23,0.57,Click
2305,461,27,Position Based,0.29,34145.1,4,199,3,0.83,Conversion
2306,462,27,First Touch,0.1,2566.7999999999997,3,349,30,0.55,Conversion
2307,462,27,Last Touch,0.58,3422.4,3,45,14,0.27,Conversion
2308,462,27,Linear,0.59,1860.0,10,232,21,0.31,Conversion
2309,462,27,Time Decay,0.46,1785.6,5,59,29,0.15,Engagement
2310,462,27,Position Based,0.95,3720.0,10,29,20,0.59,Click
2311,463,10,First Touch,0.31,30280.7,8,301,3,0.95,Conversion
2312,463,10,Last Touch,0.61,32963.8,9,22,19,0.71,Click
2313,463,10,Linear,0.21,23764.6,1,188,7,0.94,View
2314,463,10,Time Decay,0.59,17631.8,4,131,1,0.66,Click
2315,463,10,Position Based,0.13,16481.9,9,54,10,0.54,Conversion
2316,464,33,First Touch,0.81,17676.96,9,139,7,0.61,Engagement
2317,464,33,Last Touch,0.68,31145.12,1,260,4,0.51,Engagement
2318,464,33,Linear,0.29,6313.2,6,120,14,0.43,View
2319,464,33,Time Decay,0.43,26094.56,10,188,29,0.2,Engagement
2320,464,33,Position Based,0.25,39983.6,3,7,3,0.76,Conversion
2321,465,44,First Touch,0.25,6362.0,7,57,29,0.45,Click
2322,465,44,Last Touch,0.54,14632.6,4,256,17,0.9,Conversion
2323,465,44,Linear,0.7,16541.2,6,41,1,0.35,View
2324,465,44,Time Decay,0.45,20994.600000000002,10,333,11,0.5,Conversion
2325,465,44,Position Based,0.41,16223.1,5,336,12,0.55,Click
2326,466,13,First Touch,0.89,5143.679999999999,1,342,3,0.56,View
2327,466,13,Last Touch,0.61,4377.6,5,360,23,0.24,Conversion
2328,466,13,Linear,0.21,601.92,5,14,1,0.36,Engagement
2329,466,13,Time Decay,0.27,4705.92,5,361,27,0.5,Engagement
2330,466,13,Position Based,0.84,2134.08,10,250,17,0.26,Conversion
2331,467,11,First Touch,0.53,19829.480000000003,6,105,7,0.77,Engagement
2332,467,11,Last Touch,0.73,7873.47,8,89,10,0.88,View
2333,467,11,Linear,0.82,4665.76,4,254,28,0.11,Click
2334,467,11,Time Decay,0.29,12247.619999999999,3,282,2,0.24,Click
2335,467,11,Position Based,0.29,11372.79,3,5,25,0.95,View
2336,468,19,First Touch,0.51,14440.0,1,115,26,0.57,Conversion
2337,468,19,Last Touch,0.85,18240.0,4,364,12,0.1,Engagement
2338,468,19,Linear,0.85,12730.0,3,25,9,0.23,Conversion
2339,468,19,Time Decay,0.82,5510.0,7,227,22,0.16,Conversion
2340,468,19,Position Based,0.17,11590.0,3,214,21,0.41,Engagement
2341,469,32,First Touch,0.16,30800.0,7,144,14,0.3,Conversion
2342,469,32,Last Touch,0.19,12600.0,7,143,4,0.81,Conversion
2343,469,32,Linear,0.75,12250.0,1,162,12,0.71,View
2344,469,32,Time Decay,0.13,30800.0,1,185,27,0.29,Click
2345,469,32,Position Based,0.19,23100.0,9,5,2,0.51,Click
2346,470,4,First Touch,0.27,21278.88,3,15,27,0.54,Engagement
2347,470,4,Last Touch,0.37,17289.09,7,162,17,0.12,View
